MSA,AGENT_REQ,MONTH,POSTED_SHIFTS,FILLED_SHIFTS
"Atlanta-Sandy Springs-Alpharetta, GA",CNA,9/1/22,1109,659
"Atlanta-Sandy Springs-Alpharetta, GA",CNA,10/1/22,1562,963
"Atlanta-Sandy Springs-Alpharetta, GA",CNA,11/1/22,1453,1092
"Atlanta-Sandy Springs-Alpharetta, GA",LVN,9/1/22,539,328
"Atlanta-Sandy Springs-Alpharetta, GA",LVN,10/1/22,793,699
"Atlanta-Sandy Springs-Alpharetta, GA",LVN,11/1/22,757,683
"Atlanta-Sandy Springs-Alpharetta, GA",RN,9/1/22,7,5
"Atlanta-Sandy Springs-Alpharetta, GA",RN,10/1/22,15,13
"Atlanta-Sandy Springs-Alpharetta, GA",RN,11/1/22,31,27
"Boston-Cambridge-Newton, MA-NH",CNA,9/1/22,431,182
"Boston-Cambridge-Newton, MA-NH",CNA,10/1/22,677,382
"Boston-Cambridge-Newton, MA-NH",CNA,11/1/22,777,464
"Boston-Cambridge-Newton, MA-NH",LVN,9/1/22,147,91
"Boston-Cambridge-Newton, MA-NH",LVN,10/1/22,280,154
"Boston-Cambridge-Newton, MA-NH",LVN,11/1/22,307,209
"Boston-Cambridge-Newton, MA-NH",RN,9/1/22,110,96
"Boston-Cambridge-Newton, MA-NH",RN,10/1/22,158,123
"Boston-Cambridge-Newton, MA-NH",RN,11/1/22,198,159
"Canton-Massillon, OH",CNA,9/1/22,245,221
"Canton-Massillon, OH",CNA,10/1/22,251,220
"Canton-Massillon, OH",CNA,11/1/22,410,208
"Canton-Massillon, OH",LVN,9/1/22,39,34
"Canton-Massillon, OH",LVN,10/1/22,21,15
"Canton-Massillon, OH",LVN,11/1/22,35,25
"Canton-Massillon, OH",RN,9/1/22,32,24
"Canton-Massillon, OH",RN,10/1/22,31,25
"Canton-Massillon, OH",RN,11/1/22,50,40
"Chico, CA",CNA,9/1/22,29,12
"Chico, CA",CNA,10/1/22,786,401
"Chico, CA",CNA,11/1/22,921,543
"Chico, CA",LVN,9/1/22,18,6
"Chico, CA",LVN,10/1/22,413,186
"Chico, CA",LVN,11/1/22,424,208
"Cincinnati, OH-KY-IN",CNA,9/1/22,258,151
"Cincinnati, OH-KY-IN",CNA,10/1/22,624,377
"Cincinnati, OH-KY-IN",CNA,11/1/22,812,485
"Cincinnati, OH-KY-IN",LVN,9/1/22,152,84
"Cincinnati, OH-KY-IN",LVN,10/1/22,361,282
"Cincinnati, OH-KY-IN",LVN,11/1/22,450,356
"Cincinnati, OH-KY-IN",RN,9/1/22,36,22
"Cincinnati, OH-KY-IN",RN,10/1/22,50,29
"Cincinnati, OH-KY-IN",RN,11/1/22,70,48
"Columbus, OH",CNA,9/1/22,420,302
"Columbus, OH",CNA,10/1/22,394,284
"Columbus, OH",CNA,11/1/22,403,400
"Columbus, OH",LVN,9/1/22,276,245
"Columbus, OH",LVN,10/1/22,203,167
"Columbus, OH",LVN,11/1/22,177,149
"Columbus, OH",RN,9/1/22,25,17
"Columbus, OH",RN,10/1/22,24,17
"Columbus, OH",RN,11/1/22,27,20
"Dallas-Fort Worth-Arlington, TX",CNA,9/1/22,1195,895
"Dallas-Fort Worth-Arlington, TX",CNA,10/1/22,1309,976
"Dallas-Fort Worth-Arlington, TX",CNA,11/1/22,1065,725
"Dallas-Fort Worth-Arlington, TX",LVN,9/1/22,599,543
"Dallas-Fort Worth-Arlington, TX",LVN,10/1/22,601,487
"Dallas-Fort Worth-Arlington, TX",LVN,11/1/22,416,390
"Dallas-Fort Worth-Arlington, TX",RN,9/1/22,110,103
"Dallas-Fort Worth-Arlington, TX",RN,10/1/22,172,117
"Dallas-Fort Worth-Arlington, TX",RN,11/1/22,162,129
"Denver-Aurora-Lakewood, CO",CNA,9/1/22,432,384
"Denver-Aurora-Lakewood, CO",CNA,10/1/22,518,495
"Denver-Aurora-Lakewood, CO",CNA,11/1/22,459,239
"Denver-Aurora-Lakewood, CO",LVN,9/1/22,98,96
"Denver-Aurora-Lakewood, CO",LVN,10/1/22,147,135
"Denver-Aurora-Lakewood, CO",LVN,11/1/22,96,65
"Denver-Aurora-Lakewood, CO",RN,9/1/22,26,20
"Denver-Aurora-Lakewood, CO",RN,10/1/22,40,28
"Denver-Aurora-Lakewood, CO",RN,11/1/22,52,48
"Detroit-Warren-Dearborn, MI",CNA,9/1/22,402,220
"Detroit-Warren-Dearborn, MI",CNA,10/1/22,231,186
"Detroit-Warren-Dearborn, MI",CNA,11/1/22,199,119
"Detroit-Warren-Dearborn, MI",LVN,9/1/22,170,135
"Detroit-Warren-Dearborn, MI",LVN,10/1/22,51,41
"Detroit-Warren-Dearborn, MI",LVN,11/1/22,25,19
"Detroit-Warren-Dearborn, MI",RN,9/1/22,2,2
"Detroit-Warren-Dearborn, MI",RN,10/1/22,4,3
"Grand Rapids-Kentwood, MI",CNA,9/1/22,343,185
"Grand Rapids-Kentwood, MI",CNA,10/1/22,581,381
"Grand Rapids-Kentwood, MI",CNA,11/1/22,459,272
"Grand Rapids-Kentwood, MI",LVN,9/1/22,70,30
"Grand Rapids-Kentwood, MI",LVN,10/1/22,97,55
"Grand Rapids-Kentwood, MI",LVN,11/1/22,74,52
"Grand Rapids-Kentwood, MI",RN,10/1/22,1,0
"Hartford-East Hartford-Middletown, CT",CNA,9/1/22,610,329
"Hartford-East Hartford-Middletown, CT",CNA,10/1/22,603,522
"Hartford-East Hartford-Middletown, CT",CNA,11/1/22,658,415
"Hartford-East Hartford-Middletown, CT",LVN,9/1/22,165,151
"Hartford-East Hartford-Middletown, CT",LVN,10/1/22,169,102
"Hartford-East Hartford-Middletown, CT",LVN,11/1/22,173,163
"Hartford-East Hartford-Middletown, CT",RN,9/1/22,38,30
"Hartford-East Hartford-Middletown, CT",RN,10/1/22,21,11
"Hartford-East Hartford-Middletown, CT",RN,11/1/22,27,26
"Kansas City, MO-KS",CNA,9/1/22,155,117
"Kansas City, MO-KS",CNA,10/1/22,351,325
"Kansas City, MO-KS",CNA,11/1/22,457,426
"Kansas City, MO-KS",LVN,9/1/22,39,32
"Kansas City, MO-KS",LVN,10/1/22,70,62
"Kansas City, MO-KS",LVN,11/1/22,192,155
"Kansas City, MO-KS",RN,9/1/22,43,34
"Kansas City, MO-KS",RN,10/1/22,47,29
"Kansas City, MO-KS",RN,11/1/22,64,55
"Las Vegas-Henderson-Paradise, NV",CNA,9/1/22,780,610
"Las Vegas-Henderson-Paradise, NV",CNA,10/1/22,805,614
"Las Vegas-Henderson-Paradise, NV",CNA,11/1/22,859,545
"Las Vegas-Henderson-Paradise, NV",LVN,9/1/22,279,215
"Las Vegas-Henderson-Paradise, NV",LVN,10/1/22,333,186
"Las Vegas-Henderson-Paradise, NV",LVN,11/1/22,381,327
"Las Vegas-Henderson-Paradise, NV",RN,9/1/22,2,1
"Las Vegas-Henderson-Paradise, NV",RN,10/1/22,1,1
"Las Vegas-Henderson-Paradise, NV",RN,11/1/22,7,6
"Los Angeles-Long Beach-Anaheim, CA",CNA,9/1/22,9677,8225
"Los Angeles-Long Beach-Anaheim, CA",CNA,10/1/22,10131,8915
"Los Angeles-Long Beach-Anaheim, CA",CNA,11/1/22,9357,8515
"Los Angeles-Long Beach-Anaheim, CA",LVN,9/1/22,3308,2948
"Los Angeles-Long Beach-Anaheim, CA",LVN,10/1/22,3454,3046
"Los Angeles-Long Beach-Anaheim, CA",LVN,11/1/22,3160,3042
"Los Angeles-Long Beach-Anaheim, CA",RN,9/1/22,2665,2362
"Los Angeles-Long Beach-Anaheim, CA",RN,10/1/22,2918,2499
"Los Angeles-Long Beach-Anaheim, CA",RN,11/1/22,2737,2560
"Louisville/Jefferson County, KY-IN",CNA,9/1/22,672,591
"Louisville/Jefferson County, KY-IN",CNA,10/1/22,885,803
"Louisville/Jefferson County, KY-IN",CNA,11/1/22,707,631
"Louisville/Jefferson County, KY-IN",LVN,9/1/22,298,222
"Louisville/Jefferson County, KY-IN",LVN,10/1/22,443,293
"Louisville/Jefferson County, KY-IN",LVN,11/1/22,380,240
"Louisville/Jefferson County, KY-IN",RN,9/1/22,21,14
"Louisville/Jefferson County, KY-IN",RN,10/1/22,46,32
"Louisville/Jefferson County, KY-IN",RN,11/1/22,19,10
"Minneapolis-St. Paul-Bloomington, MN-WI",CNA,9/1/22,893,705
"Minneapolis-St. Paul-Bloomington, MN-WI",CNA,10/1/22,1143,1118
"Minneapolis-St. Paul-Bloomington, MN-WI",CNA,11/1/22,959,706
"Minneapolis-St. Paul-Bloomington, MN-WI",LVN,9/1/22,154,99
"Minneapolis-St. Paul-Bloomington, MN-WI",LVN,10/1/22,129,105
"Minneapolis-St. Paul-Bloomington, MN-WI",LVN,11/1/22,117,97
"Minneapolis-St. Paul-Bloomington, MN-WI",RN,9/1/22,92,59
"Minneapolis-St. Paul-Bloomington, MN-WI",RN,10/1/22,109,106
"Minneapolis-St. Paul-Bloomington, MN-WI",RN,11/1/22,112,92
"Nashville-Davidson--Murfreesboro--Franklin, TN",CNA,9/1/22,345,176
"Nashville-Davidson--Murfreesboro--Franklin, TN",CNA,10/1/22,614,424
"Nashville-Davidson--Murfreesboro--Franklin, TN",CNA,11/1/22,551,463
"Nashville-Davidson--Murfreesboro--Franklin, TN",LVN,9/1/22,129,71
"Nashville-Davidson--Murfreesboro--Franklin, TN",LVN,10/1/22,147,90
"Nashville-Davidson--Murfreesboro--Franklin, TN",LVN,11/1/22,168,106
"Nashville-Davidson--Murfreesboro--Franklin, TN",RN,9/1/22,58,30
"Nashville-Davidson--Murfreesboro--Franklin, TN",RN,10/1/22,76,34
"Nashville-Davidson--Murfreesboro--Franklin, TN",RN,11/1/22,74,36
"New York-Newark-Jersey City, NY-NJ-PA",CNA,9/1/22,2096,1234
"New York-Newark-Jersey City, NY-NJ-PA",CNA,10/1/22,2881,2297
"New York-Newark-Jersey City, NY-NJ-PA",CNA,11/1/22,2808,2450
"New York-Newark-Jersey City, NY-NJ-PA",LVN,9/1/22,1174,837
"New York-Newark-Jersey City, NY-NJ-PA",LVN,10/1/22,1280,783
"New York-Newark-Jersey City, NY-NJ-PA",LVN,11/1/22,1201,1064
"New York-Newark-Jersey City, NY-NJ-PA",RN,9/1/22,244,145
"New York-Newark-Jersey City, NY-NJ-PA",RN,10/1/22,300,216
"New York-Newark-Jersey City, NY-NJ-PA",RN,11/1/22,237,171
"Phoenix-Mesa-Chandler, AZ",CNA,9/1/22,593,395
"Phoenix-Mesa-Chandler, AZ",CNA,10/1/22,615,400
"Phoenix-Mesa-Chandler, AZ",CNA,11/1/22,556,384
"Phoenix-Mesa-Chandler, AZ",LVN,9/1/22,152,150
"Phoenix-Mesa-Chandler, AZ",LVN,10/1/22,128,85
"Phoenix-Mesa-Chandler, AZ",LVN,11/1/22,174,160
"Phoenix-Mesa-Chandler, AZ",RN,9/1/22,59,34
"Phoenix-Mesa-Chandler, AZ",RN,10/1/22,74,49
"Phoenix-Mesa-Chandler, AZ",RN,11/1/22,87,46
"Pittsburgh, PA",CNA,9/1/22,2351,1948
"Pittsburgh, PA",CNA,10/1/22,2345,1939
"Pittsburgh, PA",CNA,11/1/22,2191,1504
"Pittsburgh, PA",LVN,9/1/22,934,819
"Pittsburgh, PA",LVN,10/1/22,1025,895
"Pittsburgh, PA",LVN,11/1/22,937,872
"Pittsburgh, PA",RN,9/1/22,455,340
"Pittsburgh, PA",RN,10/1/22,553,381
"Pittsburgh, PA",RN,11/1/22,466,369
"Portland-Vancouver-Hillsboro, OR-WA",CNA,9/1/22,1482,1407
